param,name,side
p_146621_1_,index,0
p_146793_1_,hoverText,0
p_146961_1_,resourcePackEntry,0
p_146962_1_,resourcePackEntry,0
p_147049_1_,tab,0
p_147049_2_,mouseX,0
p_147049_3_,mouseY,0
p_147050_1_,tab,0
p_147051_1_,tab,0
p_147052_1_,tab,0
p_147052_2_,mouseX,0
p_147052_3_,mouseY,0
p_147097_1_,tileEntity,2
p_147176_3_,selector,2
p_147178_2_,index,2
p_147184_1_,readOnly,2
p_147186_1_,sender,2
p_147186_2_,args,2
p_147186_3_,index,2
p_147187_1_,sender,2
p_147187_2_,args,2
p_147187_3_,index,2
p_147188_1_,sender,2
p_147188_2_,args,2
p_147188_3_,index,2
p_147190_1_,sender,2
p_147190_2_,args,2
p_147190_3_,index,2
p_147191_1_,sender,2
p_147191_2_,objectiveName,2
p_147194_1_,sender,2
p_147194_2_,args,2
p_147194_3_,index,2
p_147195_1_,sender,2
p_147195_2_,args,2
p_147195_3_,index,2
p_147196_1_,sender,2
p_147197_1_,sender,2
p_147197_2_,args,2
p_147197_3_,index,2
p_147198_1_,sender,2
p_147198_2_,args,2
p_147198_3_,index,2
p_147199_1_,sender,2
p_147199_2_,args,2
p_147199_3_,index,2
p_147202_1_,indent,2
p_147202_2_,section,2
p_147297_1_,packetIn,0
p_147414_0_,server,0
p_147467_1_,x,0
p_147467_2_,z,0
p_147525_1_,value1,0
p_147525_2_,value2,0
p_147525_3_,value3,0
p_147525_4_,value4,0
p_147604_1_,red,0
p_147604_2_,green,0
p_147604_3_,blue,0
p_147604_4_,alpha,0
p_147607_1_,framebufferFilterIn,0
p_147610_1_,viewport,0
p_147615_1_,width,0
p_147615_2_,height,0
p_147634_2_,mipmapLevel,0
p_147683_1_,soundIn,0
p_147691_2_,partialTicks,0
p_147943_0_,color1,0
p_147943_1_,color2,0
p_147943_2_,color3,0
p_147943_3_,color4,0
p_147943_4_,ignored,0
p_147944_0_,color1,0
p_147944_1_,color2,0
p_147944_2_,color3,0
p_147944_3_,color4,0
p_147944_4_,shift,0
p_147947_0_,level,0
p_147947_1_,data,0
p_147947_2_,width,0
p_147947_3_,height,0
p_147947_4_,x,0
p_147947_5_,y,0
p_147947_6_,blur,0
p_147947_7_,clamp,0
p_147947_8_,mipmap,0
p_147949_0_,level,0
p_147949_1_,width,0
p_147949_2_,frameData,0
p_147951_0_,blur,0
p_147953_0_,data,0
p_147953_1_,width,0
p_147953_2_,height,0
p_147954_0_,blur,0
p_147954_1_,mipmap,0
p_147955_0_,mipmapData,0
p_147955_1_,width,0
p_147955_2_,height,0
p_147955_3_,x,0
p_147955_4_,y,0
p_147955_5_,blur,0
p_147955_6_,clamp,0
p_147962_3_,frameIndex,0
p_147969_0_,dimensionIn,0
p_147969_1_,mipmapLevelIn,0
p_147984_1_,name,0
p_147987_1_,element,0
p_147991_1_,name,0
p_147992_1_,name,0
p_147992_2_,samplerTexture,0
p_147996_1_,element,0
p_148017_1_,json,0
p_148020_1_,name,0
p_148020_2_,width,0
p_148020_3_,height,0
p_148023_1_,programName,0
p_148023_2_,framebufferIn,0
p_148023_3_,framebufferOut,0
p_148027_1_,json,0
p_148028_1_,json,0
p_148041_1_,auxName,0
p_148041_2_,auxFramebufferIn,0
p_148041_3_,width,0
p_148041_4_,height,0
p_148042_1_,partialTicks,0
p_148045_1_,projectionMatrixIn,0
p_148077_1_,manager,0
p_148081_1_,value1,0
p_148081_2_,value2,0
p_148081_3_,value3,0
p_148081_4_,value4,0
p_148083_1_,value1,0
p_148083_2_,value2,0
p_148083_3_,value3,0
p_148083_4_,value4,0
p_148084_1_,uniformLocationIn,0
p_148085_0_,typeName,0
